hillary	trump	bill	ideo	econ	partyid	relative
30	0	50	3	3	4	30
100	0	100	4	1	1	100
16	65	70	3	3	6	-49
70	0	60	5	1	6	70
40	60	50	5	3	6	-20
95	0	84	1	1	1	95
75	0	50	4	2	4	75
100	0	100	2	3	1	100
65	0	70	1	2	2	65
100	60	100	3	4	1	40
60	85	40	4	3	4	-25
60	15	50	3	2	2	45
15	62	30	6	3	7	-47
35	45	5	5	2	6	-10
25	0	40	2	3	3	25
2	51	9	6	4	6	-49
0	85	16	5	3	7	-85
20	90	0	5	3	5	-70
0	70	0	6	3	7	-70
40	30	70	5	3	6	10
60	15	60	2	3	1	45
40	85	60	5	3	6	-45
15	70	15	7	3	7	-55
70	0	60	1	3	1	70
0	70	15	5	2	6	-70
0	70	50	6	2	6	-70
2	100	1	4	2	4	-98
10	60	10	6	5	6	-50
15	0	37	5	2	4	15
85	40	60	5	3	2	45
70	0	60	4	2	6	70
